ip,port,country,colo,colo_country,region,city,tcp_latency_ms,tls_latency_ms,http_latency_ms,average_latency_ms,tcp_jitter_ms,tls_jitter_ms,http_jitter_ms,jitter_ms,loss_rate,speed_mbps,tls_version,score
43.175.131.30,443,HK,,,,,49.334,,,49.334,4.311,,,4.311,0.0,20.569,,0.0
43.159.12.36,443,XX,,,,,50.653,,,50.653,6.026,,,6.026,0.0,20.045,,0.0
43.159.4.80,443,XX,,,,,50.066,,,50.066,4.288,,,4.288,0.0,19.656,,0.0
104.20.21.188,443,XX,,,,,111.478,,,111.478,6.856,,,6.856,0.0,14.659,,0.0
110.10.178.240,443,KR,,,,,58.678,,,58.678,1.697,,,1.697,0.0,13.434,,0.0
43.108.46.150,8443,KR,,,,,59.041,,,59.041,4.99,,,4.99,0.0,13.345,,0.0
104.20.24.22,443,XX,,,,,82.805,,,82.805,6.097,,,6.097,0.0,13.119,,0.0
43.131.247.123,8443,KR,,,,,63.204,,,63.204,7.584,,,7.584,0.0,12.25,,0.0
38.207.185.28,443,HK,,,,,52.469,,,52.469,6.467,,,6.467,0.0,12.008,,0.0
104.26.9.162,443,XX,,,,,81.235,,,81.235,4.206,,,4.206,0.0,11.818,,0.0
162.159.140.38,443,XX,,,,,107.017,,,107.017,12.521,,,12.521,0.0,11.376,,0.0
104.20.28.30,443,XX,,,,,82.11,,,82.11,12.957,,,12.957,0.0,11.341,,0.0
104.20.25.24,443,XX,,,,,82.103,,,82.103,5.114,,,5.114,0.0,11.153,,0.0
64.90.28.28,443,XX,,,,,46.219,,,46.219,3.884,,,3.884,0.0,11.123,,0.0
103.171.34.48,8443,HK,,,,,50.072,,,50.072,7.397,,,7.397,0.0,10.796,,0.0
104.20.17.8,443,XX,,,,,82.431,,,82.431,12.028,,,12.028,0.0,10.603,,0.0
52.221.53.171,443,SG,,,,,85.957,,,85.957,3.899,,,3.899,0.0,10.587,,0.0
18.141.237.52,443,SG,,,,,87.28,,,87.28,9.207,,,9.207,0.0,10.532,,0.0
56.69.45.182,443,MY,,,,,92.537,,,92.537,6.965,,,6.965,0.0,10.369,,0.0
104.20.20.14,443,XX,,,,,105.226,,,105.226,10.833,,,10.833,0.0,10.298,,0.0
43.160.220.72,443,SG,,,,,89.645,,,89.645,8.053,,,8.053,0.0,10.285,,0.0
104.26.4.112,443,XX,,,,,81.638,,,81.638,3.902,,,3.902,0.0,10.235,,0.0
13.213.65.117,443,SG,,,,,84.958,,,84.958,8.927,,,8.927,0.0,10.215,,0.0
124.243.136.65,443,SG,,,,,81.112,,,81.112,4.961,,,4.961,0.0,10.091,,0.0
162.159.128.211,443,XX,,,,,89.152,,,89.152,14.034,,,14.034,0.0,10.039,,0.0
104.26.10.37,443,XX,,,,,86.063,,,86.063,3.911,,,3.911,0.0,9.992,,0.0
52.77.54.144,443,SG,,,,,86.378,,,86.378,5.856,,,5.856,0.0,9.949,,0.0
43.155.221.27,8443,KR,,,,,62.529,,,62.529,3.13,,,3.13,0.0,9.928,,0.0
